id,name,is_published,Type
21445,Aqua sport bottle with HC logo,True,String
21536,Banh Chuoi,True,String
21547,Banh mi ca ngu,True,String
21550,Banh Mi Ca Ri Ga,True,String
21552,Banh Mi Cha Lua,True,Boolean
21553,Banh Mi Cha Lua Xa Xiu,True,Boolean
21558,Banh mi ga xe nuoc tuong,True,String
21561,Banh Mi Nam,True,String
21564,Banh Mi Xa Xiu,True,Boolean
21567,Banh Mousse Cacao,True,String
21572,Banh mousse dao,True,String
21583,N/A,True,String
21584,Banh Pho Mai Caramel,True,String
21585,Banh Pho Mai Chanh Day,True,String
21589,Banh Pho Mai Tra Xanh,True,String
21598,Banh Socola Highlands,True,String
21599,Banh Sua Chua Do,True,String
21601,Bánh Tiramisu,True,String
21769,Black large Mug with HC logo,True,String
21787,Black sport bottle w HC logo,True,String
21838,BM Dau Hu,True,Boolean
21844,BM Thit Nuong S,True,Boolean
21847,BM Xiu Mai S,True,Boolean
21950,Brewed bamboo tumbler 500ml,True,String
22043,Ca Phe Culi - 200g,True,String
22045,Ca phe di san - 200g,True,String
22047,Ca phe hoa tan 3 trong 1 - 20 goi,True,String
22048,Ca phe hoa tan 3 trong 1 - 40 goi,True,String
22049,Ca Phe Moka - 200g,True,String
22050,Ca phe rang Full city Roast - 1kg,True,String
22051,Ca phe sanh dieu - 200g,True,String
22053,Ca phe truyen thong - 1kg,True,String
22054,Ca phe truyen thong - 200g,True,String
29437,HC 185ml (Black),True,String
29440,HC logo SS straw set,True,String
29897,Mosaic Mug No.10,True,String
29900,Mosaic Mug No.12,True,String
29902,Mosaic Mug No.13,True,String
29905,Mosaic Mug No.15,True,String
29909,Mosaic Mug No.18,True,String
29915,Mosaic Mug No.6,True,String
29916,Mosaic Mug No.7,True,String
30270,Pink sport bottle with HC logo,True,String
34315,Premium bamboo tumbler 500ml,True,String
34411,Red embossed mug with HC Logo,True,String
34448,Red sport bottle with HC logo,True,String
34477,Red vacuum tumbler,True,String
34756,Silver vacuum tumbler,True,String
35210,N/A,True,String
35212,N/A,True,String
35213,N/A,True,String
35215,N/A,True,String
35218,N/A,True,String
35474,White embossed mug w HC Logo,True,String
35482,White large Mug with HC logo,True,String
35486,White leaf tumbler with straw,True,String
35504,White sport bottle w HC logo,True,String
35550,Yellow sport bottle w HC logo,True,String
35614,Chanh Da Vien,True,String
35615,Chanh Nong,True,String
35616,Chanh day da vien,True,String
35617,Tac/Quat da vien,True,String
35676,Chanh Da Xay,True,String
